   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    0   7.252794    -0.000000    -9.631646      9.63165   20.33002    4.15186   12
   2    0    0   5.128500   -40.755714     0.000000      40.7557   28.90599   18.89099    6
   2    1    1   4.187403    -6.504291   -28.779362      29.5052   35.59801   13.42608   12
   2    1   -1   4.187403     6.504291   -28.779362      29.5052   35.59801   13.42608   12
   2    2    0   3.626397    63.761046    -0.000000       63.761   41.33785   47.85369   12
   1    3    0   3.243548    -0.000000   -12.084816      12.0848   46.48575    1.40037   12
   3    1    0   3.243548     0.000000    26.525287      26.5253   46.48575    6.74655   12
   2    2    2   2.960941   -45.824271   -20.532981      50.2142   51.22659    6.84344    4
   2    2   -2   2.960941   -45.824271    20.532981      50.2142   51.22659    6.84344    4
   2    3    1   2.741299   -16.281525   -12.891372      20.7672   55.67066    3.06925   12
   3    2   -1   2.741299    24.770175    20.144228      31.9273   55.67066    7.25439   12
   3    2    1   2.741299    24.770175   -20.144228      31.9273   55.67066    7.25439   12
   2    3   -1   2.741299    16.281525   -12.891372      20.7672   55.67066    3.06925   12
   4    0    0   2.564250   -74.338593     0.000000      74.3386   59.89038   17.55940    6
   4    1   -1   2.417598    53.061561   -25.683281      58.9505   63.93675   20.05088   12
   4    1    1   2.417598   -53.061561   -25.683281      58.9505   63.93675   20.05088   12
   3    3    0   2.417598    -0.000000    -6.856679      6.85668   63.93675    0.27126   12
   2    4    0   2.293535    73.921321    -0.000000      73.9213   67.84769   29.01000   12
   4    2    0   2.293535    72.027825    -0.000000      72.0278   67.84769   27.54285   12
   3    3    2   2.186800  -121.070871    -4.934516      121.171   71.65265   72.52166   12
   3    3   -2   2.186800   121.070871    -4.934516      121.171   71.65265   72.52166   12
   4    2    2   2.093701    18.030932     0.887305      18.0528   75.37545    1.51184   12
   4    2   -2   2.093701    18.030932    -0.887305      18.0528   75.37545    1.51184   12
   3    4   -1   2.011563   -92.532879    26.333574       96.207   79.03607   40.65820   12
   3    4    1   2.011563   -92.532879   -26.333574       96.207   79.03607   40.65820   12
   4    3   -1   2.011563   -67.021719     7.677696        67.46   79.03607   19.99069   12
   4    3    1   2.011563    67.021719     7.677696        67.46   79.03607   19.99069   12
   1    5    0   2.011563    -0.000000   -34.229934      34.2299   79.03607    5.14691   12
   5    1    0   2.011563    -0.000000   -18.580171      18.5802   79.03607    1.51647   12
   2    5    1   1.872663    73.905429   -65.269754       98.601   86.23841   39.11644   12
   5    2   -1   1.872663   -63.349475    25.798787      68.4013   86.23841   18.82458   12
   5    2    1   1.872663   -63.349475   -25.798787      68.4013   86.23841   18.82458   12
   2    5   -1   1.872663   -73.905429   -65.269754       98.601   86.23841   39.11644   12
   4    4    0   1.813199   153.395855    -0.000000      153.396   89.81023   91.46934   12
   4    3   -3   1.759061   -19.408668    10.760237      22.1919   93.38132    1.86048   12
   4    3    3   1.759061    19.408668    10.760237      22.1919   93.38132    1.86048   12
   3    5    0   1.759061    -0.000000    -6.898265      6.89826   93.38132    0.17977   12
   5    3    0   1.759061    -0.000000   -48.868601      48.8686   93.38132    9.02190   12
   4    4   -2   1.709500   -49.384472    19.273757      53.0123   96.96563   10.37625   12
   4    4    2   1.709500   -49.384472   -19.273757      53.0123   96.96563   10.37625   12
   6    0    0   1.709500    59.435216    -0.000000      59.4352   96.96563    6.52146    6
   6    1    1   1.663905    69.438626   -28.032739      74.8836  100.57759   20.34914   12
   3    5   -2   1.663905   -68.635264   -21.823915      72.0214  100.57759   18.82329   12
   3    5    2   1.663905    68.635264   -21.823915      72.0214  100.57759   18.82329   12
   5    3   -2   1.663905   -27.544897   -55.994042      62.4024  100.57759   14.13105   12
   5    3    2   1.663905    27.544897   -55.994042      62.4024  100.57759   14.13105   12
   6    1   -1   1.663905   -69.438626   -28.032739      74.8836  100.57759   20.34914   12
