   h    k    l       d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    0   7.252794    -0.000000    -9.576840      9.57684   20.33002    3.41520   12
   2    0    0   5.128500   -41.068387     0.000000      41.0684   28.90599   15.95962    6
   2    1    1   4.187403    -6.731763   -28.888333      29.6623   35.59801   11.28992   12
   2    1   -1   4.187403     6.731763   -28.888333      29.6623   35.59801   11.28992   12
   2    2    0   3.626397    64.841191    -0.000000      64.8412   41.33785   41.17522   12
   1    3    0   3.243548    -0.000000   -12.630889      12.6309   46.48575    1.27280   12
   3    1    0   3.243548     0.000000    27.519210      27.5192   46.48575    6.04175   12
   2    2    2   2.960941   -45.528053   -22.346271      50.7165   51.22659    5.80829    4
   2    2   -2   2.960941   -45.528053    22.346271      50.7165   51.22659    5.80829    4
   2    3    1   2.741299   -16.788869   -12.279867      20.8005   55.67066    2.56185   12
   3    2   -1   2.741299    25.084477    20.214127      32.2156   55.67066    6.14522   12
   3    2    1   2.741299    25.084477   -20.214127      32.2156   55.67066    6.14522   12
   2    3   -1   2.741299    16.788869   -12.279867      20.8005   55.67066    2.56185   12
   4    0    0   2.564250   -79.285538     0.000000      79.2855   59.89038   16.61875    6
   4    1   -1   2.417598    56.097256   -27.274253      62.3762   63.93675   18.67779   12
   4    1    1   2.417598   -56.097256   -27.274253      62.3762   63.93675   18.67779   12
   3    3    0   2.417598    -0.000000    -7.054023      7.05402   63.93675    0.23887   12
   2    4    0   2.293535    78.280210    -0.000000      78.2802   67.84769   27.06710   12
   4    2    0   2.293535    76.181039    -0.000000       76.181   67.84769   25.63489   12
   3    3    2   2.186800  -126.952128    -5.234773       127.06   71.65265   66.34600   12
   3    3   -2   2.186800   126.952128    -5.234773       127.06   71.65265   66.34600   12
   4    2    2   2.093701    18.293906     1.208062      18.3338   75.37545    1.29733   12
   4    2   -2   2.093701    18.293906    -1.208062      18.3338   75.37545    1.29733   12
   3    4   -1   2.011563   -99.610390    27.940762      103.455   79.03607   39.11705   12
   3    4    1   2.011563   -99.610390   -27.940762      103.455   79.03607   39.11705   12
   4    3   -1   2.011563   -71.513282     6.404429      71.7995   79.03607   18.84112   12
   4    3    1   2.011563    71.513282     6.404429      71.7995   79.03607   18.84112   12
   1    5    0   2.011563    -0.000000   -36.755769      36.7558   79.03607    4.93759   12
   5    1    0   2.011563    -0.000000   -18.447945      18.4479   79.03607    1.24383   12
   2    5    1   1.872663    80.873849   -68.830524      106.199   86.23841   37.75434   12
   5    2   -1   1.872663   -68.919160    28.890473      74.7296   86.23841   18.69439   12
   5    2    1   1.872663   -68.919160   -28.890473      74.7296   86.23841   18.69439   12
   2    5   -1   1.872663   -80.873849   -68.830524      106.199   86.23841   37.75434   12
   4    4    0   1.813199   164.510181    -0.000000       164.51   89.81023   87.53128   12
   4    3   -3   1.759061   -21.607688    11.745688      24.5938   93.38132    1.90116   12
   4    3    3   1.759061    21.607688    11.745688      24.5938   93.38132    1.90116   12
   3    5    0   1.759061     0.000000    -9.840296       9.8403   93.38132    0.30436   12
   5    3    0   1.759061    -0.000000   -50.584748      50.5847   93.38132    8.04279   12
   4    4   -2   1.709500   -54.272380    23.311656      59.0671   96.96563   10.71786   12
   4    4    2   1.709500   -54.272380   -23.311656      59.0671   96.96563   10.71786   12
   6    0    0   1.709500    63.627342    -0.000000      63.6273   96.96563    6.21833    6
   6    1    1   1.663905    76.071071   -31.639504      82.3885  100.57759   20.49439   12
   3    5   -2   1.663905   -74.231014   -25.676316      78.5463  100.57759   18.62743   12
   3    5    2   1.663905    74.231014   -25.676316      78.5463  100.57759   18.62743   12
