   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    1    1   2.087121    30.872000    -0.000000       30.872   75.89830  100.00000    8
   2    0    0   1.807500    30.872000    -0.000000       30.872   90.48559   62.99683    6
   2    2    0   1.278096    30.872000    -0.000000       30.872        nan        nan   12
   3    1    1   1.089964    30.872000    -0.000000       30.872        nan        nan   24
   2    2    2   1.043561    30.872000    -0.000000       30.872        nan        nan    8
   4    0    0   0.903750    30.872000    -0.000000       30.872        nan        nan    6
   3    3    1   0.829338    30.872000    -0.000000       30.872        nan        nan   24
   4    2    0   0.808339    30.872000    -0.000000       30.872        nan        nan   24
   4    2    2   0.737909    30.872000    -0.000000       30.872        nan        nan   24
   3    3    3   0.695707    30.872000    -0.000000       30.872        nan        nan    8
   5    1    1   0.695707    30.872000    -0.000000       30.872        nan        nan   24
   4    4    0   0.639048    30.872000    -0.000000       30.872        nan        nan   12
   5    3    1   0.611047    30.872000    -0.000000       30.872        nan        nan   48
   4    4    2   0.602500    30.872000    -0.000000       30.872        nan        nan   24
   6    0    0   0.602500    30.872000    -0.000000       30.872        nan        nan    6
   6    2    0   0.571582    30.872000    -0.000000       30.872        nan        nan   24
   5    3    3   0.551282    30.872000    -0.000000       30.872        nan        nan   24
   6    2    2   0.544982    30.872000    -0.000000       30.872        nan        nan   24
   4    4    4   0.521780    30.872000    -0.000000       30.872        nan        nan    8
   7    1    1   0.506201    30.872000    -0.000000       30.872        nan        nan   24
   5    5    1   0.506201    30.872000    -0.000000       30.872        nan        nan   24
   6    4    0   0.501310    30.872000    -0.000000       30.872        nan        nan   24
   6    4    2   0.483075    30.872000    -0.000000       30.872        nan        nan   48
   5    5    3   0.470633    30.872000    -0.000000       30.872        nan        nan   24
   7    3    1   0.470633    30.872000    -0.000000       30.872        nan        nan   48
   8    0    0   0.451875    30.872000    -0.000000       30.872        nan        nan    6
   7    3    3   0.441643    30.872000    -0.000000       30.872        nan        nan   24
   6    4    4   0.438383    30.872000    -0.000000       30.872        nan        nan   24
   8    2    0   0.438383    30.872000    -0.000000       30.872        nan        nan   24
   6    6    0   0.426032    30.872000    -0.000000       30.872        nan        nan   12
   8    2    2   0.426032    30.872000    -0.000000       30.872        nan        nan   24
   5    5    5   0.417424    30.872000    -0.000000       30.872        nan        nan    8
   7    5    1   0.417424    30.872000    -0.000000       30.872        nan        nan   48
   6    6    2   0.414669    30.872000    -0.000000       30.872        nan        nan   24
   8    4    0   0.404169    30.872000    -0.000000       30.872        nan        nan   24
   7    5    3   0.396798    30.872000    -0.000000       30.872        nan        nan   48
   9    1    1   0.396798    30.872000    -0.000000       30.872        nan        nan   24
   8    4    2   0.394429    30.872000    -0.000000       30.872        nan        nan   48
   6    6    4   0.385360    30.872000    -0.000000       30.872        nan        nan   24
   9    3    1   0.378955    30.872000    -0.000000       30.872        nan        nan   48
   8    4    4   0.368954    30.872000    -0.000000       30.872        nan        nan   24
   7    7    1   0.363321    30.872000    -0.000000       30.872        nan        nan   24
   9    3    3   0.363321    30.872000    -0.000000       30.872        nan        nan   24
   7    5    5   0.363321    30.872000    -0.000000       30.872        nan        nan   24
   8    6    0   0.361500    30.872000    -0.000000       30.872        nan        nan   24
  10    0    0   0.361500    30.872000    -0.000000       30.872        nan        nan    6
   8    6    2   0.354480    30.872000    -0.000000       30.872        nan        nan   48
  10    2    0   0.354480    30.872000    -0.000000       30.872        nan        nan   24
   7    7    3   0.349475    30.872000    -0.000000       30.872        nan        nan   24
   9    5    1   0.349475    30.872000    -0.000000       30.872        nan        nan   48
   6    6    6   0.347854    30.872000    -0.000000       30.872        nan        nan    8
  10    2    2   0.347854    30.872000    -0.000000       30.872        nan        nan   24
   9    5    3   0.337100    30.872000    -0.000000       30.872        nan        nan   48
   8    6    4   0.335644    30.872000    -0.000000       30.872        nan        nan   48
  10    4    0   0.335644    30.872000    -0.000000       30.872        nan        nan   24
  10    4    2   0.330003    30.872000    -0.000000       30.872        nan        nan   48
  11    1    1   0.325954    30.872000    -0.000000       30.872        nan        nan   24
   7    7    5   0.325954    30.872000    -0.000000       30.872        nan        nan   24
   8    8    0   0.319524    30.872000    -0.000000       30.872        nan        nan   12
  11    3    1   0.315844    30.872000    -0.000000       30.872        nan        nan   48
   9    5    5   0.315844    30.872000    -0.000000       30.872        nan        nan   24
   9    7    1   0.315844    30.872000    -0.000000       30.872        nan        nan   48
   8    8    2   0.314645    30.872000    -0.000000       30.872        nan        nan   24
  10    4    4   0.314645    30.872000    -0.000000       30.872        nan        nan   24
   8    6    6   0.309984    30.872000    -0.000000       30.872        nan        nan   24
  10    6    0   0.309984    30.872000    -0.000000       30.872        nan        nan   24
  11    3    3   0.306620    30.872000    -0.000000       30.872        nan        nan   24
   9    7    3   0.306620    30.872000    -0.000000       30.872        nan        nan   48
  10    6    2   0.305523    30.872000    -0.000000       30.872        nan        nan   48
  12    0    0   0.301250    30.872000    -0.000000       30.872        nan        nan    6
   8    8    4   0.301250    30.872000    -0.000000       30.872        nan        nan   24
